"tm"	"channel_name"	"ocean_region"	"ges_id_octal"	"channel_unit_id"	"channel_type"	"su_type"	"BFO"	"BTO"
2014-03-07 16:42:45	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"Subsequent,Signalling,Unit"	NA	NA
2014-03-07 16:42:47	"IOR-R1200-0-36ED"	"IOR"	"305"	"4"	"R-Channel RX"	"0x62,-,Acknowledge,User,Data,(R-channel),123,14920"	123	14920
2014-03-07 16:42:48	"IOR-R1200-0-36ED"	"IOR"	"305"	"4"	"R-Channel RX"	"0x22,-,Access,Request,(R/T-Channel),123,14900"	123	14900
2014-03-07 16:42:48	"IOR-P10500-0-3859"	"IOR"	"305"	"10"	"P-Channel TX"	"0x51,-,T-Channel,Assignment"	NA	NA
2014-03-07 16:42:52	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"0x71,-,User,Data,(ISU),-,RLS,131,9960"	131	9960
2014-03-07 16:42:52	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,131,9960"	131	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,132,9960"	132	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,132,9960"	132	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
2014-03-07 16:42:53	"IOR-T1200-0-36D7"	"IOR"	"305"	"8"	"T-Channel RX"	"Subsequent,Signalling,Unit,133,9960"	133	9960
